gesture,frame,joint,x,y,person_idx,video_idx
ASL_letter_V,0,hand_position,0.0,0.0,47981,0
ASL_letter_V,1,hand_position,0.0,0.0,47981,0
ASL_letter_V,2,hand_position,0.0,0.0,47981,0
ASL_letter_V,3,hand_position,0.0,0.0,47981,0
ASL_letter_V,4,hand_position,0.0,0.0,47981,0
ASL_letter_V,5,hand_position,0.0,0.0,47981,0
ASL_letter_V,6,hand_position,0.0,0.0,47981,0
ASL_letter_V,7,hand_position,0.0,0.0,47981,0
ASL_letter_V,8,hand_position,0.0,0.0,47981,0
ASL_letter_V,9,hand_position,0.0,0.0,47981,0
ASL_letter_V,10,hand_position,0.0,0.0,47981,0
ASL_letter_V,11,hand_position,0.0,0.0,47981,0
ASL_letter_V,12,hand_position,0.0,0.0,47981,0
ASL_letter_V,13,hand_position,0.0,0.0,47981,0
ASL_letter_V,14,hand_position,0.0,0.0,47981,0
ASL_letter_V,15,hand_position,0.0,0.0,47981,0
ASL_letter_V,16,hand_position,0.0,0.0,47981,0
ASL_letter_V,17,hand_position,0.0,0.0,47981,0
ASL_letter_V,18,hand_position,0.0,0.0,47981,0
ASL_letter_V,19,hand_position,0.0,0.0,47981,0
ASL_letter_V,20,hand_position,0.0,0.0,47981,0
ASL_letter_V,21,hand_position,0.0,0.0,47981,0
ASL_letter_V,22,hand_position,0.0,0.0,47981,0
ASL_letter_V,23,hand_position,0.0,0.0,47981,0
ASL_letter_V,24,hand_position,0.0,0.0,47981,0
ASL_letter_V,25,hand_position,0.0,0.0,47981,0
ASL_letter_V,26,hand_position,0.0,0.0,47981,0
ASL_letter_V,27,hand_position,0.0,0.0,47981,0
ASL_letter_V,28,hand_position,0.0,0.0,47981,0
ASL_letter_V,29,hand_position,0.0,0.0,47981,0
ASL_letter_V,30,hand_position,0.0,0.0,47981,0
ASL_letter_V,31,hand_position,0.0,0.0,47981,0
ASL_letter_V,32,hand_position,0.0,0.0,47981,0
ASL_letter_V,33,hand_position,0.0,0.0,47981,0
ASL_letter_V,34,hand_position,0.0,0.0,47981,0
ASL_letter_V,35,hand_position,0.0,0.0,47981,0
ASL_letter_V,36,hand_position,0.0,0.0,47981,0
ASL_letter_V,37,hand_position,0.0,0.0,47981,0
ASL_letter_V,38,hand_position,0.0,0.0,47981,0
ASL_letter_V,39,hand_position,0.0,0.0,47981,0
ASL_letter_V,40,hand_position,0.0,0.0,47981,0
ASL_letter_V,41,hand_position,0.0,0.0,47981,0
ASL_letter_V,42,hand_position,0.0,0.0,47981,0
ASL_letter_V,43,hand_position,0.0,0.0,47981,0
ASL_letter_V,44,hand_position,0.0,0.0,47981,0
ASL_letter_V,45,hand_position,0.0,0.0,47981,0
ASL_letter_V,46,hand_position,0.0,0.0,47981,0
ASL_letter_V,47,hand_position,0.0,0.0,47981,0
ASL_letter_V,48,hand_position,0.0,0.0,47981,0
ASL_letter_V,49,hand_position,0.0,0.0,47981,0
ASL_letter_V,50,hand_position,0.0,0.0,47981,0
ASL_letter_V,51,hand_position,0.0,0.0,47981,0
ASL_letter_V,52,hand_position,0.0,0.0,47981,0
ASL_letter_V,53,hand_position,0.0,0.0,47981,0
ASL_letter_V,54,hand_position,0.0,0.0,47981,0
ASL_letter_V,55,hand_position,0.0,0.0,47981,0
ASL_letter_V,56,hand_position,0.0,0.0,47981,0
ASL_letter_V,57,hand_position,0.0,0.0,47981,0
ASL_letter_V,58,hand_position,0.0,0.0,47981,0
ASL_letter_V,59,hand_position,0.0,0.0,47981,0
ASL_letter_V,60,hand_position,0.0,0.0,47981,0
ASL_letter_V,61,hand_position,0.0,0.0,47981,0
ASL_letter_V,62,hand_position,0.0,0.0,47981,0
ASL_letter_V,63,hand_position,0.0,0.0,47981,0
ASL_letter_V,64,hand_position,0.0,0.0,47981,0
ASL_letter_V,65,hand_position,0.0,0.0,47981,0
ASL_letter_V,66,hand_position,0.0,0.0,47981,0
ASL_letter_V,67,hand_position,0.0,0.0,47981,0
ASL_letter_V,68,hand_position,0.0,0.0,47981,0
ASL_letter_V,69,hand_position,0.0,0.0,47981,0
ASL_letter_V,70,hand_position,0.0,0.0,47981,0
ASL_letter_V,71,hand_position,0.0,0.0,47981,0
ASL_letter_V,72,hand_position,0.0,0.0,47981,0
ASL_letter_V,73,hand_position,0.0,0.0,47981,0
ASL_letter_V,74,hand_position,0.0,0.0,47981,0
ASL_letter_V,75,hand_position,0.0,0.0,47981,0
ASL_letter_V,76,hand_position,0.0,0.0,47981,0
ASL_letter_V,77,hand_position,0.0,0.0,47981,0
ASL_letter_V,78,hand_position,0.0,0.0,47981,0
ASL_letter_V,79,hand_position,0.0,0.0,47981,0
ASL_letter_V,80,hand_position,0.0,0.0,47981,0
